developmental stage	neonate	http://www.ebi.ac.uk/efo	EFO:0001372	original and zooma values identical
organism	Rattus norvegicus	http://purl.obolibrary.org/obo	NCBITaxon:10116	original and zooma values identical
organism part	heart	http://purl.obolibrary.org/obo	UBERON:0000948	original and zooma values identical
strain or line	Sprague-Dawley	http://www.ebi.ac.uk/efo	EFO:0001352	Sprague Dawley
targeted cell type	cardiomyocyte	http://purl.obolibrary.org/obo	CL:0000746	original and zooma values identical
